ACE,date_only,hour,target_demanda,day_of_week,month,population_resident,student_count,outbound_commuters,employed_resident,Shape_Area,demand_density,pop_density,lag_1h,lag_24h,rolling_mean_3h
0.0,2015-05-17,0,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,,,
0.0,2015-05-17,1,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,
0.0,2015-05-17,2,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,
0.0,2015-05-17,3,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,4,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,5,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,6,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,7,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,8,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,9,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,10,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,11,1.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,,0.0
0.0,2015-05-17,12,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,,0.3333333333333333
0.0,2015-05-17,13,1.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,,0.3333333333333333
0.0,2015-05-17,14,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,,0.6666666666666666
0.0,2015-05-17,15,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.3333333333333333
0.0,2015-05-17,16,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.3333333333333333
0.0,2015-05-17,17,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,18,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,19,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,20,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,21,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,,0.0
0.0,2015-05-17,22,1.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,,0.0
0.0,2015-05-17,23,0.0,6,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,,0.3333333333333333
0.0,2015-05-18,0,1.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,0.0,0.3333333333333333
0.0,2015-05-18,1,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,0.0,0.6666666666666666
0.0,2015-05-18,2,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.3333333333333333
0.0,2015-05-18,3,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.3333333333333333
0.0,2015-05-18,4,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,5,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,6,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,7,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,8,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,9,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,10,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,11,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,1.0,0.0
0.0,2015-05-18,12,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,13,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,1.0,0.0
0.0,2015-05-18,14,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,15,1.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,0.0,0.0
0.0,2015-05-18,16,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,0.0,0.3333333333333333
0.0,2015-05-18,17,1.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.2672344761550764,788.8761736097857,0.0,0.0,0.3333333333333333
0.0,2015-05-18,18,0.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.0,788.8761736097857,1.0,0.0,0.6666666666666666
0.0,2015-05-18,19,2.0,0,5,2952.0,950.0,11.0,185.0,3742032.1449082,0.5344689523101529,788.8761736097857,0.0,0.0,0.3333333333333333
